# Localization strings, Key|Value

MessageView_Ok|ОК
MessageView_Back|Назад
MessageView_Yes|Да
MessageView_No|Нет
MessageView_Buy|Купить
MessageView_Cancel|Отмена

NumberFormatUtil_Unit_Format_Millions|{0}М
NumberFormatUtil_Unit_Format_Thousands|{0}К

Shared_NumberSeparatorThousands|,
Shared_Ellipsis|...

profile_sync_error|Обновить
profile_sync_error_title|Ошибка синхронизации
profile_sync_error_descr|Невозможно синхронизировать профиль.\nОшибка в событии:{0}\nСледующее количество последних действий будет отменено: {1}
profile_sync_server_error_descr|Ответ от сервера пришел с ошибкой:\n{0}

preloader_init_check_version|Проверка версии
preloader_init_logic|Собираем рюкзак
preloader_init_profile|Создаем аватара
preloader_init_inventory|Надеваем мантию
preloader_init_map_tpl|Погружаемся в мир
preloader_init_geo|Задаем позицию
preloader_init_library|Оставляем записку для родителей
preloader_init_map|Отправляемся в путешествие
preloader_init_game|Загрузка...
preloader_view.proceed|Нажмите, чтобы продолжить

global_use|Использовать
global_reward|Награда
global_thanks|Спасибо
global_take|Взять
global_close|Закрыть
gloabl_title|Стражи Cнов
global_open|Открыть

tutorial_mentor_name|Лепрекон

#Map
map_loading|Инициализация карты...
reset_loading|Загрузка...
too_far_warning|Слишком далеко! Подойдите на расстояние 50 метров или меньше.
interact_anomaly|Собрать
interact_lantern|Проверить
interact_quest|Поговорить
interact_enemy|Атаковать
interact_soul|Взять с собой
interact_trader|Торговать
interact_temple|Зайти
interact_distance|Расстояние: {0}м


#Inventory
inventory_profile_switch_model_btn|Сменить модель
inventory_profile_title|Профиль
inventory_profile_energy_title|Профиль
inventory_profile_energy_full|У вас полная энергия!
inventory_collection_title|Коллекция
inventory_collection_info|Духи, которые присоединились к вам в путешествии
inventory_collection_start_merge_hint|Вы можете объединить души в одну более сильную
inventory_collection_start_merge_button|Начать
inventory_collection_finish_merge_button|Объединить
inventory_collection_cancel_merge_button|Отмена
inventory_collection_upgrade_button|Улучшить
inventory_collection_restore_button|Восстановить
inventory_collection_release_button|Отпустить
inventory_collection_minigame_1|Магический круг
inventory_collection_minigame_2|Черная дыра
inventory_collection_minigame_3|Быстро-клик
inventory_training_finished|Тренировка завершена

inventory_quest_title|Задания
inventory_quest_no_quests|Нет активных заданий!\nИсследуйте мир, чтобы найти духов, выдающих задания.
inventory_quest_cancel_button|Отмена
inventory_quest_confirm_cancle_title|Вы уверены, что хотите отменить это задание?

card_level_up|+ Уровень

resources_mana|Мана
resources_sparkles|Искры
resources_soulstones|Камни душ

trade_add|Добавить
trade_buy|Купить

# Quest
1:destroy:20|Уничтожено Духов Земли [b]{0}[/b] из [b]{1}[/b]

# Fight
fight_player_stats|Показатели игрока
fight_player_mana|Мана:
fight_player_energy|Энергия:
fight_start_button|В БОЙ!
fight_choose_button|Выберите души
fight_close_button|Назад на карту
fight_result_res_spent|Ресурсов потрачено:
fight_result_lose_title|Поражение
fight_result_win_title|Победа
fight_capture_title|ИДЕТ ЗАХВАТ...
fight_win|Победа
fight_lose|Поражение

# Sleepers
sleepers_title|Спящие
sleepers_create|Создать сон

sleepers_collect|Завершить сон
sleepers_choose_soul|Выберите духа
sleepers_set_soul|Выберите участников сна
sleepers_dreaming|Спит...
sleepers_efficiency|Эффективность сна:
sleeper_name|Имя: [b]{0}[/b]
sleeper_prof|Профессия: [b]{0}[/b]
sleeper_gender|Пол: [b]{0}[/b]
sleeper_age|Возраст: [b]{0}[/b]
sleeper_height|Рост: [b]{0}[/b]

#Lantern
lantern_lightup|Зажечь

#Store
trader_dialog|Сделка выгодная. Соглашайся!
purchases_dialog|Приветствую в моей скромной лавке, господин. Слушаю и повинуюсь!
purchases_title|Купить искры света
purchases_free_chest|Какие богатства сокрыты внутри этого сундука? Скорее открой его!
stock_cant_buy|Вы не можете это купить!
stock_cant_buy_info|У вас недостаточно искр для покупки.

#Check version
check_update_title|Ваша версия устарела, обновите приложение!\n\nТекущая версия: [FFED00FF]{0}[-]\nНеобходимая версия: [FFED00FF]{1}[-]
check_update_button|Обновить

#Others
mana_not_enough|Недостаточно маны
cost_title|Требуется: {0}
cost_player_res|Ваша мана: {0}

#Purchases
purchase_service_title|Сервис покупок
purchase_success_title|Покупка совершена!
purchase_success_descr|Покупка успешно совершена!
purchase_init_error|Ошибка инициализации сервиса: {0}
purchase_not_inited|Сервис покупок не проинициализирован.
purchase_fail_title|Ошибка покупки
purchase_update_profile_failed|Покупка прошла, но профиль некорректно обновился
purchase_invalid|Невалидная покупка!\n\n{0}
purchase_fail_invalid_id|Попытка покупки провалена. Отсутствует продукт с ID: {0} \nИли не доступен для покупки
